-127,123,103,75,122,91,110,14,106,100,61,1,0,95,-2,64,16,48,9,26,
0,110,43,114,-82,96,-119,105,-124,18,15,6,-108,1,121,4,121,68,-31,88,
-1,116,12,75,-67,92,38,120,-32,58,-51,84,76,0,5,28,-50,92,-83,106,
-95,3,53,23,97,18,36,24,-78,16,122,37,67,118,105,120,-42,76,100,41,
-93,20,-29,76,105,86,-10,40,-41,105,-71,109,-62,42,-65,85,60,82,-109,52,
-73,61,50,7,67,117,-116,87,-14,109,-94,43,-104,38,6,126,52,78,79,127,
-21,95,84,96,-40,4,-120,10,0,15,30,119,108,35,1,48,58,48,48,33,
-65,46,-9,26,-9,24,-86,4,-22,93,-2,17,5,32,81,98,102,42,-10,97,
-108,73,114,117,29,98,76,42,-74,119,-82,71,-95,100,-111,77,56,72,43,52,
-40,6,79,61,-1,5,-88,50,-73,50,-101,38,-100,34,87,78,47,97,-56,41,
-86,83,125,57,-6,36,-94,71,-69,100,10,104,89,93,79,15,89,118,94,99,
98,88,-86,18,-17,111,-38,71,59,119,-55,44,12,87,-24,29,38,107,-83,58,
117,51,5,104,96,48,-4,43,-22,1,-103,16,-62,71,-120,9,-51,71,21,91,
-120,18,116,118,-81,116,51,55,22,35,-2,59,20,88,69,65,85,106,-9,29,
52,54,39,90,49,37,78,32,-1,5,34,32,-48,22,46,44,-66,4,45,106,
19,95,94,86,53,49,-60,26,-18,26,-120,96,76,60,109,25,53,103,-6,92,
