-78,52,64,85,75,70,68,457,66,64,38,4461,0,67,-1,101,10,133,6,250,
0,58,27,56,-50,67,-74,61,-76,358,9,1022,-67,4899,74,1824,75,94,-19,72,
-1,55,8,86,-41,69,24,53,-20,110,-32,77,47,16711,3,229,-31,70,-51,60,
-59,1955,32,280,60,349,22,273,-48,408,75,173,41,54,64,53,-26,84,62,158,
-57,319,-18,84,65,75,-6,160,-25,61,-44,59,-38,154,-40,75,37,78,-67,125,
-45,104,31,928,41,54,-72,74,-9,59,-58,150,-64,168,3,51,32,82,49,50,
-13,68,52,67,-24,1542,-74,632,0,435,18,54,67,184,1,135,36,133,29,197,
-40,140,-5,248,-6,270,-53,1527,-14,69,-1,380,3,203,50,65,63,153,-6,66,
-67,88,70,55,18,65,47,153,-46,54,-51,91,-59,64,-68,83,35,89,26,123,
-25,1099,49,105,-1,1194,-54,129,-45,129,-63,169,-62,189,54,83,29,66,-35,158,
-53,78,77,113,-4,179,-58,91,-43,64,6,62,55,69,49,441,55,54,58,64,
61,73,-53,367,-10,58,-24,90,37,54,-34,148,7,74,-15,225,23,60,-51,111,
72,126,3,61,59,135,-2,151,-13,10098,-64,413,-38,90,-74,691,-32,90,13,70,
-74,365,71,54,-50,55,32,117,13,183,-2,109,12,73,43,98,53,60,-6,225,
32,120,24,71,30,172,48,198,-1,1369,21,200,-30,287,29,144,-41,1771,28,60,
12,67,58,74,33,131,-37,246,-11,251,-74,67,47,107,67,254,33,62,-4,69,
