-181,-73,21,-95,573,-50,291,93,137,-331,-13,-177,94,70,-363,-39,
32,140,-52,-423,22,-666,-510,162,819,-127,474,-596,285,18,-294,360,
-335,-172,-348,-109,-38,-54,113,-628,217,249,58,397,716,390,-247,-240,
104,63,-172,422,66,-145,-62,89,-267,166,-188,115,80,-191,280,-44,
498,13,642,236,-1279,-1,187,-390,-938,935,-154,671,-118,364,-32,-361,
72,-88,19,-431,-135,161,205,-194,248,-96,-7,-168,-38,346,74,-135,
1,-102,387,289,418,-178,-232,240,92,215,-71,309,-774,-660,132,136,
-302,-128,35,203,-53,-462,-377,-334,767,903,4,298,120,-558,-169,252,
46,17,-442,81,349,-411,-146,-184,686,542,-127,95,-277,-253,-151,202,
276,53,-129,-26,-234,443,480,370,-640,-872,-147,-246,71,455,227,-173,
-102,9,-210,51,-166,1135,74,241,-615,-462,-35,529,-201,-598,525,-14,
-126,-33,-206,-37,300,429,313,-183,-1167,-385,334,-87,545,645,194,-473,
-29,274,259,-108,564,19,-216,305,-377,-289,22,-300,-474,-181,35,492,
-129,129,74,123,-501,125,-140,-21,615,-482,97,-232,-223,247,-138,4,
16,-68,-74,-211,-110,132,56,188,397,260,-79,-614,322,127,-178,-56,
